day,id,sulfur_dioxide,carbon_monoxide,ozone,pm_2.5,methane,benzene,nitrous_oxide,xylene,longitude,latitude,sulfur_dioxide_exposure_window
2016-05-13T22:00:00Z,feed_4901,NaN,66.45454545454545,30.727272727272727,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-13T23:00:00Z,feed_4901,NaN,60.63636363636363,32.833333333333336,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T00:00:00Z,feed_4901,NaN,61.36363636363637,33.916666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T01:00:00Z,feed_4901,NaN,62.916666666666664,34.416666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T02:00:00Z,feed_4901,NaN,63.90909090909091,34.083333333333336,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T03:00:00Z,feed_4901,NaN,65.27272727272727,33.166666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T04:00:00Z,feed_4901,NaN,67.36363636363636,34.416666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T05:00:00Z,feed_4901,NaN,71.5,33.81818181818182,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T06:00:00Z,feed_4901,NaN,67.63636363636364,34.416666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T07:00:00Z,feed_4901,NaN,66.9090909090909,34.333333333333336,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T08:00:00Z,feed_4901,NaN,56.09090909090909,35.833333333333336,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T09:00:00Z,feed_4901,NaN,52.09090909090909,35.666666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T10:00:00Z,feed_4901,NaN,49.916666666666664,35.916666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T11:00:00Z,feed_4901,NaN,48.09090909090909,36.81818181818182,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T12:00:00Z,feed_4901,NaN,52.27272727272727,39.416666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T13:00:00Z,feed_4901,NaN,51.63636363636363,39.75,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T14:00:00Z,feed_4901,NaN,48.27272727272727,37.5,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T15:00:00Z,feed_4901,NaN,50.27272727272727,38.36363636363637,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T16:00:00Z,feed_4901,NaN,52.54545454545455,36,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T17:00:00Z,feed_4901,NaN,58.81818181818182,36.333333333333336,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T18:00:00Z,feed_4901,NaN,63.09090909090909,34.416666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T19:00:00Z,feed_4901,NaN,63,35.166666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T20:00:00Z,feed_4901,NaN,63.916666666666664,36.5,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T21:00:00Z,feed_4901,NaN,68.54545454545455,35.45454545454545,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T22:00:00Z,feed_4901,NaN,70.72727272727273,32.75,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-14T23:00:00Z,feed_4901,NaN,72.0909090909091,30.90909090909091,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-15T00:00:00Z,feed_4901,NaN,69.72727272727273,31.833333333333332,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-15T01:00:00Z,feed_4901,NaN,69,32.916666666666664,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
2016-05-15T02:00:00Z,feed_4901,NaN,65.27272727272727,32.75,NaN,NA,NA,NA,NA,-122.3805525,37.9416845,NaN
